epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2357.48,0.97904,0.89985,1.22775,0.69805,0.66044,0.70387,0.48503,1.07076,2.12617,1.40164,0.00374296,0.00374296,0.00374296
43,2413,0.96972,0.8842,1.23367,0.756,0.65076,0.72168,0.50303,1.05198,1.6047,1.38528,0.00373057,0.00373057,0.00373057
44,2468.8,0.98118,0.91499,1.23592,0.71814,0.69986,0.71014,0.49441,1.04317,1.65149,1.40579,0.0037179,0.0037179,0.0037179
45,2524.72,0.96006,0.88317,1.22762,0.74993,0.66989,0.73943,0.50941,1.05224,1.4344,1.38673,0.00370497,0.00370497,0.00370497
46,2580.22,0.95709,0.87114,1.22648,0.71879,0.65757,0.68195,0.46777,1.10069,2.00916,1.42944,0.00369177,0.00369177,0.00369177
47,2635.98,0.95808,0.8753,1.22889,0.72684,0.63555,0.68847,0.47743,1.09627,1.82291,1.42304,0.00367831,0.00367831,0.00367831
48,2691.36,0.96343,0.90901,1.232,0.74821,0.67289,0.73554,0.52097,1.0065,2.0202,1.3526,0.00366458,0.00366458,0.00366458
49,2747.26,0.93322,0.84091,1.18426,0.70441,0.68063,0.71783,0.50156,1.05605,1.81102,1.40917,0.00365059,0.00365059,0.00365059
50,2802.61,0.93847,0.83415,1.20984,0.75748,0.65231,0.71139,0.51124,1.02123,1.80744,1.35836,0.00363635,0.00363635,0.00363635
51,2858.45,0.90172,0.79642,1.17346,0.79336,0.65007,0.74674,0.54008,1.01657,1.35428,1.34545,0.00362185,0.00362185,0.00362185
52,2913.63,0.92949,0.81419,1.19583,0.76781,0.70194,0.75877,0.54082,1.01196,1.25579,1.34085,0.0036071,0.0036071,0.0036071
53,2969.84,0.90541,0.79362,1.19375,0.76531,0.68811,0.75139,0.54341,0.9983,1.5975,1.34136,0.0035921,0.0035921,0.0035921
54,3025.29,0.89847,0.79695,1.17404,0.75831,0.67911,0.74021,0.53201,1.03537,1.4575,1.36837,0.00357685,0.00357685,0.00357685
55,3081.27,0.90938,0.8056,1.17783,0.75098,0.6964,0.76212,0.54926,0.99732,1.27136,1.33486,0.00356136,0.00356136,0.00356136
56,3140.86,0.89402,0.76211,1.17745,0.77574,0.69133,0.75932,0.53982,0.9971,1.5007,1.34875,0.00354562,0.00354562,0.00354562
57,3196.44,0.88267,0.76948,1.16964,0.75881,0.68257,0.74202,0.53115,1.02153,1.67075,1.35183,0.00352964,0.00352964,0.00352964
58,3251.98,0.89732,0.78295,1.17793,0.72985,0.67447,0.74089,0.52453,1.04351,1.52402,1.37138,0.00351342,0.00351342,0.00351342
59,3307.42,0.89873,0.77822,1.172,0.77362,0.70263,0.76589,0.5482,0.99536,1.721,1.32745,0.00349696,0.00349696,0.00349696
60,3363,0.89612,0.77301,1.16146,0.77858,0.66805,0.74022,0.52647,0.99101,1.45391,1.31986,0.00348028,0.00348028,0.00348028
61,3418.23,0.88493,0.75285,1.16851,0.77375,0.6971,0.7596,0.54169,1.00345,1.21382,1.32844,0.00346336,0.00346336,0.00346336
62,3476.44,0.88461,0.74079,1.16545,0.77722,0.69295,0.76187,0.54645,0.96857,1.34963,1.31584,0.00344621,0.00344621,0.00344621
63,3531.82,0.8641,0.73974,1.15404,0.77251,0.68337,0.74287,0.54199,0.98872,1.59793,1.31655,0.00342884,0.00342884,0.00342884
64,3588.09,0.87982,0.72694,1.15545,0.7743,0.69989,0.76904,0.5486,1.01215,1.28196,1.35686,0.00341125,0.00341125,0.00341125
65,3643.21,0.84324,0.70246,1.14019,0.76425,0.69225,0.76615,0.55604,0.98069,1.40166,1.32867,0.00339343,0.00339343,0.00339343
66,3699.17,0.86773,0.73368,1.16246,0.7213,0.72407,0.75101,0.54422,1.00019,1.81323,1.34577,0.0033754,0.0033754,0.0033754
67,3754.11,0.8547,0.69657,1.13773,0.80234,0.67704,0.76716,0.55327,0.97134,1.4225,1.33945,0.00335716,0.00335716,0.00335716
68,3810.08,0.86401,0.697,1.15036,0.741,0.7182,0.74586,0.53823,1.0119,1.89767,1.35703,0.0033387,0.0033387,0.0033387
69,3865.1,0.84759,0.6877,1.13152,0.73788,0.68949,0.72315,0.50923,1.02349,1.61642,1.387,0.00332004,0.00332004,0.00332004
70,3920.8,0.84619,0.67329,1.13704,0.75306,0.73815,0.77267,0.56163,0.97576,1.29246,1.32068,0.00330117,0.00330117,0.00330117
71,3976.92,0.85003,0.67847,1.13747,0.76594,0.74136,0.78449,0.56621,0.94542,1.50795,1.31596,0.0032821,0.0032821,0.0032821
72,4032.82,0.81532,0.67258,1.11611,0.76602,0.71577,0.76535,0.55799,0.93976,1.48135,1.29995,0.00326283,0.00326283,0.00326283
73,4088.42,0.82931,0.67596,1.13337,0.77336,0.72061,0.77874,0.56625,0.95213,1.22896,1.30487,0.00324336,0.00324336,0.00324336
74,4144.23,0.85077,0.68068,1.14,0.72775,0.74274,0.76395,0.5586,0.96136,1.55357,1.32437,0.0032237,0.0032237,0.0032237
75,4199.55,0.8255,0.66291,1.11953,0.79086,0.69825,0.7683,0.5552,0.97502,1.5016,1.34042,0.00320385,0.00320385,0.00320385
76,4254.93,0.81325,0.6332,1.11768,0.78101,0.73306,0.77568,0.56345,0.93936,1.47541,1.29974,0.00318381,0.00318381,0.00318381
77,4310.8,0.81581,0.63587,1.12271,0.78408,0.72325,0.78352,0.56202,0.97596,1.50366,1.35592,0.00316359,0.00316359,0.00316359
78,4365.85,0.83337,0.66076,1.12822,0.74859,0.73513,0.76851,0.56966,0.9202,1.59812,1.29717,0.00314319,0.00314319,0.00314319
79,4421.65,0.80799,0.63764,1.11188,0.77659,0.71162,0.77833,0.57442,0.9514,1.10371,1.30916,0.00312261,0.00312261,0.00312261
