epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,10036.7,0.50441,0.3239,0.90714,0.82988,0.73881,0.82135,0.63607,0.90916,0.96387,1.35854,0.000777171,0.000777171,0.000777171
181,10092.2,0.5017,0.32687,0.9009,0.82743,0.74136,0.82087,0.63697,0.90858,0.97439,1.35821,0.000757901,0.000757901,0.000757901
182,10147.6,0.50143,0.32638,0.90476,0.82933,0.73932,0.81945,0.6352,0.91159,0.97116,1.36427,0.000738829,0.000738829,0.000738829
183,10203.2,0.50045,0.31746,0.90396,0.83549,0.73167,0.81767,0.63388,0.91372,0.96936,1.3703,0.00071996,0.00071996,0.00071996
184,10258.7,0.49616,0.3229,0.90586,0.82158,0.73997,0.81592,0.63326,0.91462,0.96852,1.37418,0.000701297,0.000701297,0.000701297
185,10314.1,0.49284,0.30748,0.89959,0.82283,0.73997,0.816,0.6321,0.91751,0.97332,1.3769,0.000682841,0.000682841,0.000682841
186,10369.5,0.49575,0.31797,0.90511,0.82124,0.74342,0.81519,0.6321,0.91653,0.98858,1.37577,0.000664597,0.000664597,0.000664597
187,10425.1,0.48758,0.31187,0.89234,0.8169,0.74356,0.81278,0.63091,0.91726,1.00274,1.37779,0.000646566,0.000646566,0.000646566
188,10480.1,0.48327,0.30357,0.8953,0.8229,0.7391,0.81347,0.63129,0.91562,0.9979,1.37692,0.000628753,0.000628753,0.000628753
189,10535.5,0.49459,0.31604,0.89784,0.83172,0.73306,0.81403,0.63058,0.91676,1.00558,1.37888,0.000611159,0.000611159,0.000611159
190,10590.1,0.4866,0.31561,0.8953,0.83113,0.73177,0.81511,0.63079,0.91591,1.00504,1.38141,0.000593788,0.000593788,0.000593788
191,10645.6,0.47994,0.30969,0.89319,0.8168,0.73998,0.81515,0.62964,0.91777,1.0154,1.38446,0.000576642,0.000576642,0.000576642
192,10700.5,0.48712,0.3097,0.89626,0.79834,0.75588,0.8152,0.63002,0.9178,1.02662,1.38425,0.000559724,0.000559724,0.000559724
193,10755.8,0.48429,0.30176,0.89551,0.7981,0.75795,0.81465,0.62993,0.91995,1.0391,1.38739,0.000543037,0.000543037,0.000543037
194,10811.1,0.49533,0.31322,0.90147,0.82072,0.73763,0.81478,0.63009,0.91915,1.04363,1.38732,0.000526582,0.000526582,0.000526582
195,10866.3,0.47706,0.30437,0.89145,0.8221,0.73825,0.81495,0.63003,0.91733,1.0406,1.38523,0.000510364,0.000510364,0.000510364
196,10924.7,0.47554,0.30813,0.88967,0.82461,0.73481,0.81683,0.63146,0.91443,1.04077,1.38241,0.000494384,0.000494384,0.000494384
197,10980,0.47722,0.3064,0.89775,0.82532,0.73513,0.81689,0.63192,0.91376,1.03757,1.38213,0.000478645,0.000478645,0.000478645
198,11035.5,0.47898,0.30957,0.8906,0.82479,0.73582,0.81686,0.6326,0.91397,1.04043,1.38309,0.000463149,0.000463149,0.000463149
199,11090.5,0.46927,0.30065,0.88814,0.82492,0.73651,0.81783,0.6335,0.91456,1.04308,1.38453,0.000447899,0.000447899,0.000447899
200,11146.3,0.47616,0.30122,0.88775,0.82727,0.73651,0.81865,0.63227,0.91392,1.04427,1.3851,0.000432897,0.000432897,0.000432897
201,11201.3,0.47494,0.30596,0.88842,0.82627,0.7379,0.81868,0.63272,0.91335,1.04925,1.38507,0.000418146,0.000418146,0.000418146
202,11256.8,0.46912,0.29873,0.89012,0.82772,0.73582,0.81835,0.63279,0.91363,1.04828,1.38545,0.000403648,0.000403648,0.000403648
203,11311.8,0.47139,0.29845,0.88313,0.82617,0.73651,0.81866,0.634,0.91321,1.04981,1.38509,0.000389405,0.000389405,0.000389405
204,11367.3,0.46632,0.29372,0.88789,0.81116,0.75173,0.8183,0.63413,0.91344,1.0533,1.38626,0.00037542,0.00037542,0.00037542
205,11422.4,0.46485,0.29739,0.88269,0.80874,0.75311,0.81824,0.6339,0.91275,1.054,1.38649,0.000361694,0.000361694,0.000361694
206,11478,0.45912,0.30105,0.88384,0.82305,0.73984,0.81819,0.634,0.91295,1.05274,1.38817,0.000348231,0.000348231,0.000348231
207,11533.3,0.45934,0.29627,0.88052,0.82733,0.73582,0.81842,0.63409,0.91241,1.05398,1.38797,0.000335031,0.000335031,0.000335031
208,11588.4,0.45353,0.29236,0.88254,0.82854,0.73513,0.81831,0.63461,0.91173,1.05346,1.38819,0.000322097,0.000322097,0.000322097
209,11643.9,0.46068,0.2942,0.88804,0.82957,0.73306,0.8189,0.63535,0.91258,1.0526,1.38988,0.000309432,0.000309432,0.000309432
210,11699.2,0.46151,0.29892,0.8812,0.831,0.73375,0.81843,0.6351,0.91094,1.05835,1.3886,0.000297036,0.000297036,0.000297036
211,11754.4,0.4506,0.28635,0.88034,0.82911,0.73479,0.8178,0.63446,0.91109,1.05985,1.38921,0.000284913,0.000284913,0.000284913
212,11809.7,0.45288,0.28942,0.87888,0.82652,0.73513,0.81717,0.63501,0.91245,1.06266,1.39092,0.000273063,0.000273063,0.000273063
213,11865.2,0.45314,0.28961,0.88081,0.8252,0.73513,0.81708,0.6344,0.91292,1.06635,1.39179,0.00026149,0.00026149,0.00026149
214,11919.9,0.45399,0.29097,0.87524,0.82391,0.73444,0.81748,0.63425,0.91259,1.06581,1.39135,0.000250194,0.000250194,0.000250194
215,11975.5,0.45139,0.28328,0.87267,0.82343,0.73532,0.81634,0.63433,0.91286,1.06368,1.39245,0.000239178,0.000239178,0.000239178
216,12030.2,0.45411,0.28924,0.88486,0.82182,0.73582,0.81613,0.63488,0.91319,1.06166,1.39356,0.000228442,0.000228442,0.000228442
217,12085.9,0.45599,0.2956,0.88171,0.82129,0.73513,0.81548,0.63395,0.91408,1.06008,1.39481,0.00021799,0.00021799,0.00021799
218,12140.7,0.44863,0.28497,0.88148,0.82051,0.73344,0.81512,0.63446,0.91411,1.05841,1.39496,0.000207822,0.000207822,0.000207822
219,12196,0.44687,0.284,0.87183,0.82161,0.73237,0.81528,0.63442,0.91463,1.05858,1.39619,0.000197941,0.000197941,0.000197941
220,12251.5,0.44227,0.29122,0.88041,0.82398,0.73306,0.81546,0.63423,0.91446,1.05997,1.39675,0.000188347,0.000188347,0.000188347
221,12306.7,0.4441,0.28653,0.87474,0.82267,0.73306,0.8154,0.63424,0.91479,1.06082,1.39781,0.000179043,0.000179043,0.000179043
